token	complexity
river	0
brothers	0
brothers	0.05
brothers	0.15
sons	0.055555556
sons	0.160714286
sons	0.160714286
sons	0.171875
days	0
days	0.180555556
days	0.25
lion	0
lion	0.21875
lion	0.28125
lion	0.315789474
fire	0
fire	0.055555556
fire	0.125
fire	0.133333333
fire	0.303571429
disease	0.125
everyone	0
everyone	0.166666667
knees	0
speech	0
speech	0.160714286
speech	0.279411765
name	0
name	0.05
name	0.160714286
name	0.176470588
name	0.208333333
Father	0
Father	0.133333333
Father	0.222222222
waters	0.025
waters	0.1
waters	0.166666667
waters	0.235294118
waters	0.265625
sign	0.109375
wood	0.025
wood	0.117647059
wood	0.160714286
wood	0.234375
gold	0.025
gold	0.05
gold	0.1
gold	0.210526316
gold	0.22826087
weep	0.025
weep	0.294117647
silver	0.025
silver	0.125
silver	0.132352941
silver	0.234375
silver	0.289473684
cause	0.025
cities	0.027777778
cities	0.1
cities	0.238095238
cities	0.263888889
crop	0.027777778
crop	0.166666667
hair	0.25
kings	0.027777778
kings	0.142857143
kings	0.223684211
kings	0.227272727
kings	0.235294118
cloth	0.027777778
cloth	0.184210526
hands	0.027777778
hands	0.191176471
words	0.05
words	0.15
words	0.203125
words	0.25
fish	0.223684211
clouds	0.05
clouds	0.222222222
mountain	0.05
mountain	0.133333333
mountain	0.264705882
images	0.171052632
images	0.236842105
images	0.279411765
trust	0.265625
subject	0.325
search	0.166666667
search	0.25
iron	0.05
iron	0.1
iron	0.15
stones	0.05
stones	0.263888889
stones	0.342105263
nothing	0.05
nothing	0.05
nothing	0.138888889
fruit	0.05
fruit	0.083333333
fruit	0.175
fruit	0.25
fruit	0.25
nights	0.05
finger	0.05
eyes	0.05
eyes	0.25
eyes	0.25
Israel	0.3
Israel	0.3
Israel	0.308823529
prayer	0.055555556
prayer	0.166666667
prayer	0.180555556
power	0.055555556
power	0.25
Benjamin	0.055555556
Benjamin	0.266666667
Benjamin	0.3125
Benjamin	0.319444444
Benjamin	0.338235294
blessing	0.055555556
blessing	0.171875
throne	0.055555556
throne	0.144736842
throne	0.178571429
throne	0.203125
throne	0.233333333
faith	0.055555556
faith	0.160714286
faith	0.1875
faith	0.208333333
faith	0.25
rest	0.1
rest	0.178571429
rest	0.25
crown	0.058823529
crown	0.125
truth	0.069444444
truth	0.216666667
truth	0.21875
truth	0.220588235
play	0.071428571
world	0.140625
side	0.075
side	0.161764706
drink	0.075
faces	0.075
order	0.191176471
honor	0.075
honor	0.234375
honor	0.25
refuge	0.075
refuge	0.283333333
refuge	0.289473684
refuge	0.34375
north	0.075
north	0.220588235
parts	0.075
parts	0.125
parts	0.125
basket	0.075
basket	0.166666667
bread	0.075
bread	0.096153846
bread	0.142857143
bread	0.235294118
bread	0.236111111
brother	0.075
brother	0.15
brother	0.1875
brother	0.205882353
feast	0.075
feast	0.125
feast	0.265625
feast	0.279411765
feast	0.319444444
children	0.075
children	0.2
children	0.235294118
children	0.308823529
children	0.35
curse	0.075
curse	0.1
curse	0.25
curse	0.34375
Kingdom	0.075
Kingdom	0.238636364
Kingdom	0.264705882
Kingdom	0.305555556
Kingdom	0.319444444
tradition	0.075
sin	0.075
sin	0.142857143
sin	0.192307692
sin	0.205882353
sin	0.238095238
years	0.075
years	0.138888889
house	0.075
